model,rep,method,alpha,penalize_diag,target,lambda,edges,F1,MCC,TP,TN,FP,FN,KL,L2,SP,PRAUC,ROCAUC
7,1,glasso,0.5,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.65,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.8,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.2,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.35,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.5,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.65,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.8,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.2,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.35,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.5,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.65,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.8,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.2,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.35,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.5,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.65,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,glasso,0.8,FALSE,None,0.4466835921509635,190,0.6219512195121951,NA,153,4611,37,149,73.09536837025195,50.033979098054765,13.449846481536431,0.6922496954075065,0.7505617313150426
7,1,rope,0.2,TRUE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.35,TRUE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.5,TRUE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.65,TRUE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.8,TRUE,None,1,4950,0.11504761904761904,NA,302,2,4646,0,46.96644793835412,52.53834501528192,13.787075973901777,0.6958693583147497,0.9242343071434272
7,1,rope,0.2,TRUE,Identity,1,4950,0.11509146341463417,NA,302,4,4644,0,23.05794482630209,48.455835243643584,13.257003146951382,0.6914584642162157,0.9239728545212068
7,1,rope,0.35,TRUE,Identity,1,4950,0.11509146341463417,NA,302,4,4644,0,23.05794482630209,48.455835243643584,13.257003146951382,0.6914584642162157,0.9239728545212068
7,1,rope,0.5,TRUE,Identity,1,4950,0.11509146341463417,NA,302,4,4644,0,23.05794482630209,48.455835243643584,13.257003146951382,0.6914584642162157,0.9239728545212068
7,1,rope,0.65,TRUE,Identity,1,4950,0.11509146341463417,NA,302,4,4644,0,23.05794482630209,48.455835243643584,13.257003146951382,0.6914584642162157,0.9239728545212068
7,1,rope,0.8,TRUE,Identity,1,4950,0.11509146341463417,NA,302,4,4644,0,23.05794482630209,48.455835243643584,13.257003146951382,0.6914584642162157,0.9239728545212068
